Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Pocaterra, José Rafael",http://viaf.org/viaf/19697944,M,Venezuela,1890,1955
"Poe, Edgar Allan",http://viaf.org/viaf/60351476,M,Estados Unidos,1809,1849
"Pogolotti, Marcelo",http://viaf.org/viaf/27305329,M,Cuba,1902,1988
"Pomar, José",http://viaf.org/viaf/24802623,M,NA,1880,1961
"Pombo, Rafael",http://viaf.org/viaf/79400080,M,Colombia,1833,1912
"Pomès, Matilde",http://viaf.org/viaf/79067662,F,Francia,1886,1977
"Ponce de León, Alfonso",http://viaf.org/viaf/36851967,M,España,1906,1936
"Ponce de León, Néstor",http://viaf.org/viaf/43312961,M,NA,1837,1899
"Poncet y de Cárdenas, Carolina",http://viaf.org/viaf/59106739,F,Cuba,1879,1969
"Pondal Ríos, Sixto",http://viaf.org/viaf/3649299,M,Argentina,1907,1968
"Pons y Umbert, Adolfo",http://viaf.org/viaf/47137218,M,España,1873,1945
"Popovich, Juan",http://redesperonismo.org/wp-content/uploads/2019/03/Contreras.pdf,M,Argentina,NA,NA
"Porlán, Rafael",http://viaf.org/viaf/30854867,M,España,1899,1945
"Porras Troconis, Gabriel",http://viaf.org/viaf/26620395,M,NA,1880,NA
"Porras, Antonio",http://viaf.org/viaf/19041259,M,España,1895,1970
"Porro Freire, Alicia",https://es.wikipedia.org/wiki/Alicia_Porro,F,Uruguay,1908,1983
"Portal, Magda",http://viaf.org/viaf/116287424,F,Perú,1901,1989
"Portalis, Roger",http://viaf.org/viaf/34550203,M,Francia,1841,1912
"Porter, Katherine Anne",http://viaf.org/viaf/56620604,F,Estados Unidos,1890,1980
"Portes Gil, Emilio",http://viaf.org/viaf/8571249,M,México,1890,1978
"Portogalo, José",http://viaf.org/viaf/16120731,M,Argentina,1904,1973
"Pound, Ezra",http://viaf.org/viaf/24606774,M,Estados Unidos,1885,1972
"Poveda, Héctor",http://viaf.org/viaf/19328333,M,Cuba,1890,1968
"Poyatos, Victoriano",http://viaf.org/viaf/2378152080588207230004,M,España,NA,NA
"Praag, J. A. van",http://viaf.org/viaf/70556542,M,Países Bajos,1895,1969
"Pradels, Octave",http://viaf.org/viaf/54234432,M,Francia,1842,1930
"Prados, Emilio",http://viaf.org/viaf/32018065,M,España,1899,1962
"Praesent, Hans",http://viaf.org/viaf/32744231,M,Alemania,1888,1946
"Prampolini, Enrico",http://viaf.org/viaf/19762459,M,Italia,1894,1956
"Prebisch, Alberto",http://viaf.org/viaf/96554966,M,Argentina,1899,1970
"Prelato, Nila",http://impactoguerracivil.blogspot.com/p/el-impacto-de-la-guerra-civil-espanola.html,M,Argentina,NA,NA
"Préndez Saldías, Carlos",http://viaf.org/viaf/53729659,M,Chile,1892,1963
"Prestes, Luís Carlos",http://viaf.org/viaf/100384144,M,Brasil,1898,1990
"Prete, Juan del",http://viaf.org/viaf/70010517,M,Argentina,1897,1987
"Prévost, Jean",http://viaf.org/viaf/9852191,M,Francia,1901,1944
"Prévost, Marcel",http://viaf.org/viaf/68938611,M,Francia,1862,1941
"Prieto del Egido, Ignacio",http://viaf.org/viaf/308231627,M,Argentina,1895,1966
"Prieto Mera, Francisco",http://hemerotecadigital.bne.es/details.vm?q=id:0028520117&lang=es,M,España,NA,NA
"Prieto Valdés, Casimiro",http://viaf.org/viaf/9634777,M,España,1847,1906
"Prieto y Romero, Ramón",http://www.antoniomiranda.com.br/Iberoamerica/espanha/ramon_prieto_y_romero.html,M,España,NA,1930
"Prieto, Gregorio",http://viaf.org/viaf/94904906,M,España,1897,1992
"Prieto, Guillermo",http://viaf.org/viaf/2558888,M,México,1818,1897
"Prieto, Juan Manuel",http://viaf.org/viaf/30713852,M,Argentina,1893,NA
"Prieto, Miguel",http://viaf.org/viaf/6698118,M,España,1907,1956
"Prim, Juan",http://viaf.org/viaf/32040070,M,España,1814,1870
"Primo de Rivera y Sobremonte, Fernando",http://viaf.org/viaf/26968317,M,España,1831,1921
"Prince Lara, Guillermo",https://es.wikipedia.org/wiki/Guillermo_Prince_Lara,M,Venezuela,1905,1931
"Príncipe y Satorres, Enrique",http://viaf.org/viaf/281152636060120050393,M,NA,NA,NA
"Príncipe, Miguel Agustín",http://viaf.org/viaf/35337208,M,España,1811,1863
"Prudhomme, Sully",http://viaf.org/viaf/89565335,M,Francia,1839,1907
"Prugent Lobera, Enrique",http://viaf.org/viaf/87149496,M,NA,NA,NA
"Puccini, Mario",http://viaf.org/viaf/59215391,M,Italia,1887,1957
"Puche, Eliodoro",http://viaf.org/viaf/43176900,M,España,1885,1964
"Puente, Isaac",http://viaf.org/viaf/49258868,M,España,1896,1936
"Pueyrredón, Juan Martín de",http://viaf.org/viaf/28434975,M,Argentina,1776,1850
"Puga y Acal, Manuel",http://viaf.org/viaf/5188334,M,México,1860,1930
"Puig y Ferreter, Joan",http://viaf.org/viaf/56629234,M,España,1882,1956
"Puiggrós, Rodolfo",http://viaf.org/viaf/56734717,M,Argentina,1906,1980
"Pulido, Ángel",http://viaf.org/viaf/71523507,M,España,1852,1932
"Puvis de Chavannes, Pierre",http://viaf.org/viaf/51724541,M,Francia,1824,1898
"Puyo, Constant",http://viaf.org/viaf/34511023,M,Francia,1857,1933
"Puyol, Ramón",http://viaf.org/viaf/305876653,M,España,1907,1981
"Queirolo, Bernardo",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&ved=2ahUKEwiu_I6ikIPnAhWHxYUKHdb4BiMQFjADegQIAhAC&url=http%3A%2F%2Fanaforas.fic.edu.uy%2Fjspui%2Fbitstream%2F123456789%2F391%2F1%2FRevista_Nacional_235_1986.pdf&usg=AOvVaw3MRlGwTbHe0cNvNOAns09C,M,Uruguay,NA,NA
"Queirós, Eça de",http://viaf.org/viaf/88719234,M,Portugal,1845,1900
"Quental, Antero de",http://viaf.org/viaf/100254861,M,Portugal,1842,1891
"Querol Subirats, Agustín",http://viaf.org/viaf/25782110,M,España,1860,1909
"Querol, Agustín",http://viaf.org/viaf/87597038,M,España,1860,1909
"Querol, Vicente",http://viaf.org/viaf/71410464,M,España,1837,1889
"Quesada, Alonso",http://viaf.org/viaf/61540401,M,España,1886,1925
"Quesada, Ernesto",http://viaf.org/viaf/20428759,M,Argentina,1858,1934
"Quesnel, Léo",http://viaf.org/viaf/68921198,M,Francia,NA,NA
"Quevedo Sánchez, Antonio",https://ufdcimages.uflib.ufl.edu/AA/00/06/35/88/00062/bc1987198700.pdf,M,España,1888,1977
"Quevedo y Zubieta, Salvador",http://viaf.org/viaf/69081812,M,México,1859,1935
"Quintana, Manuel José",http://viaf.org/viaf/73975529,M,España,1772,1857
"Quintanar, Fernando Gallego de Chaves y Calleja",http://viaf.org/viaf/74239375,M,España,1889,1974
"Quintanilla, Luis",http://viaf.org/viaf/23192551,M,México,1900,1980
"Quintanilla, Mariano",http://viaf.org/viaf/316753962,M,España,1896,1969
"Quiroga Plá, José María",http://viaf.org/viaf/9979138,M,España,1902,1955
"Quiroga, Domingo",http://viaf.org/viaf/20599261,M,España,1900,1986
"Quiroga, Emilio Florencio",https://www.yumpu.com/es/document/view/6214036/cosas-del-tango-y-del-lunfardo-edutecne,M,Argentina,NA,NA
"Quiroga, Horácio",http://viaf.org/viaf/19689428,M,Uruguay,1878,1937
"Quirós Martínez, Roberto","http://biblio.upmx.mx/library/index.php?title=Special:GSMSearchPage&process&lang=es&mode=&autor=QUIROS%20MARTINEZ,%20ROBERTO,%201887-%20",M,México,1887,NA
"Rabotnikof, Abraham",https://bibliotecavirtual.unl.edu.ar:8443/bitstream/handle/11185/1099/Tesis.pdf?sequence=1&isAllowed=y,M,Argentina,NA,NA
"Rada y Delgado, Juan de Díos de la",http://viaf.org/viaf/16243041,M,España,1827,1901
"Radica, Bogdan",http://viaf.org/viaf/84224454,M,Croacia,1904,1993
"Radiguet, Raymond",http://viaf.org/viaf/68934728,M,Francia,1903,1923
"Ràfols, Josep F.",http://viaf.org/viaf/67273527,M,España,1889,1965
"Raggi, Juan",http://viaf.org/viaf/300652560,M,Argentina,1890,1932
"Raida, Bernardo",https://fernando-sabido-andalucia.blogspot.com/2015/09/pedro-raida-2124.html,M,España,NA,NA
"Raida, Pedro",http://viaf.org/viaf/86973546,M,España,1888,1962
"Rambaud, Henri",http://viaf.org/viaf/17228433,M,Francia,1899,1974
"Rameau, Jean",http://viaf.org/viaf/100276765,M,Francia,1858,1942
"Ramírez Ángel, Emiliano",http://viaf.org/viaf/56971208,M,España,1883,1928
"Ramírez Cabañas, Joaquín",http://viaf.org/viaf/46846448,M,México,1886,1945
"Ramírez de Saavedra, Enrique (Duque de Rivas)",http://viaf.org/viaf/69244452,M,España,1826,1914
"Ramón y Cajal, Santiago",http://viaf.org/viaf/7450338,M,España,1852,1934
"Ramos Carrión, Miguel",http://viaf.org/viaf/69738124,M,España,1848,1915
"Ramos Mejía, Francisco",http://viaf.org/viaf/34348086,M,Argentina,1847,1893
"Ramos Mejía, José María",http://viaf.org/viaf/87751038,M,Argentina,1849,1914
"Ramos Pedrueza, Rafael",http://viaf.org/viaf/227071941,M,México,1897,1943
"Ramos, Angela",http://viaf.org/viaf/17076854,F,Perú,1896,1988
"Ramos, José Antonio",http://viaf.org/viaf/61672066,M,Cuba,1885,1946
"Ramos, Samuel",http://viaf.org/viaf/59099151,M,México,1897,1959
"Rascoe, Burton",http://viaf.org/viaf/12679059,M,Estados Unidos,1892,1957
"Ratisbonne, Louis",http://viaf.org/viaf/100231118,M,Francia,1827,1900
"Raurich, Nicolau",http://viaf.org/viaf/25457475,M,España,1871,1945
"Rava, Horacio G.",http://viaf.org/viaf/3156809346745120803,M,Argentina,1905,1994
"Ravenet, Domingo",http://viaf.org/viaf/73596898,M,Cuba,1905,1969
"Raventos y Noguer, Manuel",http://viaf.org/viaf/857155284866387062017,M,NA,NA,NA
"Ravines, Eudocio",http://viaf.org/viaf/18470233,M,Perú,1897,1979
"Raygada, Carlos",http://viaf.org/viaf/268778826,M,Perú,1898,1953
"Raymond, de Penyafort, Saint",http://viaf.org/viaf/79081365,M,España,1175,1275
"Raynal, Maurice",http://viaf.org/viaf/9970712,M,Francia,1884,1954
"Real de Azúa, Gabriel",http://viaf.org/viaf/3327155466470202160001,M,España,1803,1889
"Rebell, Hugues",http://viaf.org/viaf/9852444,M,Francia,1867,1905
"Rebolledo Gálvez, José Enrique",http://pares.mcu.es/MovimientosMigratorios/detalle.form?nid=12598,M,España,1911,NA
"Reboux, Paul",http://viaf.org/viaf/34489245,M,Francia,1877,1963
"Rebull, Joan",http://viaf.org/viaf/62357910,M,España,1899,1981
"Recásens Siches, Luis",http://viaf.org/viaf/100235239,M,Guatemala,1903,1977
"Recio de Tirteafuera, Pedro",http://viaf.org/viaf/304579249,M,España,1854,1916
"Reclus, Jacques Élisée",http://viaf.org/viaf/71396743,M,Francia,1830,1905
Reed John,http://viaf.org/viaf/68971815,M,Estados Unidos,1887,1920
"Rega Molina, Horacio",http://viaf.org/viaf/57669547,M,Argentina,1899,1957
"Régis, J. P.",http://viaf.org/viaf/68647427,NA,NA,NA,NA
"Régnier, Henri de",http://viaf.org/viaf/19683277,M,Francia,1864,1936
"Regoyos, Dario de",http://viaf.org/viaf/56631255,M,España,1857,1913
"Reibrach, Jean",http://viaf.org/viaf/44447958,M,Francia,1853,1927
"Reina, Manuel",http://viaf.org/viaf/60220398,M,España,1856,1905
"Reis, Câmara",http://viaf.org/viaf/201900107,M,Portugal,1885,1961
"Reisner, Larisa",http://viaf.org/viaf/71424172,F,Rusia,1895,1926
"Rejano, Juan",http://viaf.org/viaf/41852725,M,España,1903,1976
"Rello, Francisco",http://viaf.org/viaf/310536494,M,España,1904,1921
"Remarque, Erich Maria",http://viaf.org/viaf/61551298,M,Alemania,1898,1970
"Remfry-Kidd, Charlotte",http://viaf.org/viaf/71233724,F,España,1869,1957
"Renan, Ernest",http://viaf.org/viaf/100170528,M,Francia,1823,1892
"Renard, Jules",http://viaf.org/viaf/12314235,M,Francia,1864,1910
"Renoir, Jean",http://viaf.org/viaf/104724700,M,Francia,1894,1979
"Reparaz, Gonzalo de",http://viaf.org/viaf/41437289,M,Portugal,1860,1939
"Repetto, Nicolás",https://en.wikipedia.org/wiki/Nicol%C3%A1s_Repetto,M,Argentina,1871,1965
"Répide, Pedro de",http://viaf.org/viaf/15030141,M,España,1882,1948
"Resa Fernández, Rafael",https://books.google.de/books?id=GJo6fxQZ5aQC&pg=PA289&lpg=PA289&dq=rafael+resa+fernandez+ciencias&source=bl&ots=TD0JqL83YA&hl=de&sa=X&ved=2ahUKEwjKnc2F1ZTnAhWlM-wKHU8vCl4Q6AEwAHoECAoQAQ#v=snippet&q=rafael%20resa&f=false,M,España,NA,NA
"Restrepo, Antonio José",http://viaf.org/viaf/68534419,NA,Colombia,1856,1933
"Reszka Moreau, Pedro A.",http://viaf.org/viaf/604145857104722922306,M,Chile,1872,1960
"Retana, W. E. (Wenceslao Emilio)",http://viaf.org/viaf/70556638,M,España,1862,1924
"Retuerto, Marcial",http://viaf.org/viaf/162845748,M,España,1897,NA
"Reuillard, Gabriel",http://viaf.org/viaf/19803721,M,Francia,1885,1973
"Revello Torre, José",http://viaf.org/viaf/17373441,M,Argentina,1893,1964
"Reventos, Ramón",http://viaf.org/viaf/197057553,M,España,1881,1924
"Reverdy, Pierre",http://viaf.org/viaf/61551365,M,Francia,1889,1960
"Revilla, Manuel de la",http://viaf.org/viaf/57420831,M,España,1846,1881
"Revol, Hubert",https://books.google.de/books?id=A9NX-vJqFy8C&pg=PA26&lpg=PA26&dq=%22Hubert+Revol%22+frances&source=bl&ots=KUqTagpHKN&sig=ACfU3U3xizzx59imlE26oNrP5cUu4aY1iA&hl=de&sa=X&ved=2ahUKEwiz4YmenYPnAhULx4UKHSVAC0kQ6AEwAnoECAYQAQ#v=onepage&q=%22Hubert%20Revol%22%20frances&f=false,M,Francia,NA,NA
"Revueltas, Fermín",http://viaf.org/viaf/3638288,M,México,1902,1935
"Rey Caballero, José María del",http://viaf.org/viaf/107535387,M,España,1902,1987
"Rey Marzal, Arturo",http://datos.bne.es/persona/XX1637374.html,M,NA,NA,NA
"Reyes y Borda, Manuel José de",https://es.wikipedia.org/wiki/Manuel_Jos%C3%A9_de_Reyes_y_Borda,M,Chile,1754,1822
"Reyes, Alfonso",http://viaf.org/viaf/29555218,M,México,1889,1959
"Reyes, Arturo",http://viaf.org/viaf/12549311,M,España,1864,1913
"Reyes, Jorge",http://viaf.org/viaf/43938557,M,Ecuador,1905,1977
"Reyes, Salvador",http://viaf.org/viaf/34484024,M,Chile,1899,1970
"Reyles, Carlos",http://viaf.org/viaf/54163995,M,Uruguay,1868,1938
"Reyna, Ernesto",http://viaf.org/viaf/170955130,M,NA,NA,NA
"Reynals, Olaguer",https://es.wikipedia.org/wiki/Olaguer_Reynals,M,España,NA,1829
"Riba, Carles",http://viaf.org/viaf/49220425,M,España,1893,1959
"Ribemont-Dessaignes, Alban",http://viaf.org/viaf/41989770,M,Francia,1847,1940
"Ribemont-Dessaignes, Georges",http://viaf.org/viaf/96123513,M,Francia,1884,1974
"Ribera i Cibrera, Romà",http://viaf.org/viaf/95920692,M,España,1849,1935
"Ribera, José de",http://viaf.org/viaf/83103470,M,España,1591,1652
"Ricard, Robert",http://viaf.org/viaf/9852672,M,Francia,1900,1984
"Riccio, Gustavo",http://viaf.org/viaf/33073593,M,Argentina,1900,1927
"Rice, Cale Young",http://viaf.org/viaf/45777111,M,Estados Unidos,1872,1943
"Richepin, Jean",http://viaf.org/viaf/64087745,M,Argelia,1849,1926
"Richert, Gertrud",http://viaf.org/viaf/61939704,F,Alemania,1885,1963
"Richter, Johann Paul Friedrich",http://viaf.org/viaf/64011067,M,Alemania,1763,1825
"Riganelli, Agustín",http://viaf.org/viaf/96554921,M,Argentina,1890,1949
"Riganelli, Celina Estela",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=16&ved=2ahUKEwjWpsS6n4PnAhWB4IUKHULzDr0QFjAPegQICRAC&url=http%3A%2F%2Frodna.bn.gov.ar%2Fjspui%2Fbitstream%2Fbnmm%2F204823%2F1%2FAntologia_Poesia_Femenina_Argentina.pdf&usg=AOvVaw3X3r63KuLejjbc9FVlbX0u,F,Argentina,1910,NA
"Rimbaud, Arthur",http://viaf.org/viaf/7396281,M,Francia,1854,1891
"Rio, Ángel del",http://viaf.org/viaf/61675551,M,España,1900,1962
"Ríos, Fernando de los",http://viaf.org/viaf/4483,M,España,1879,1949
"Riquelme, Antonio",http://viaf.org/viaf/21914115,M,España,1894,1968
"Riquer, Alexandre de",http://viaf.org/viaf/54197610,M,España,1856,1920
"Riquetti de Mirabeau, Sibylle Gabrielle",http://viaf.org/viaf/96218572,F,Francia,1849,1932
"Risco, Vicente",http://viaf.org/viaf/116579257,M,España,1884,1963
"Ritter, William",http://viaf.org/viaf/85156029,M,Suiza,1867,1955
"Riudavets de Montes, Luis",http://viaf.org/viaf/48846982,M,NA,NA,NA
"Riva Palacio, Vicente",http://viaf.org/viaf/54185176,M,México,1832,1896
"Rivas Cherif, Cipriano de",http://viaf.org/viaf/107021535,M,España,1891,1967
"Rivas Eulate, José María",http://dbe.rah.es/biografias/39879/jose-maria-rivas-eulate,M,España,1896,1972
"Rivas Frade, Federico",http://viaf.org/viaf/60310936,M,Colombia,1856,1922
"Rivas Panedas, Humberto",http://viaf.org/viaf/101015818,M,España,1893,1960
"Rivas Panedas, José",http://viaf.org/viaf/41145424147486791051,M,España,1898,1944
"Rivas Velázquez, Alejandro",http://viaf.org/viaf/435155042861972402993,M,NA,NA,NA
"Rivera Pastor, Francisco",http://viaf.org/viaf/60098566,M,España,1878,1936
"Rivera Reyes, Juan",http://viaf.org/viaf/463148995894459750725,M,NA,NA,NA
"Rivera, Diego",http://viaf.org/viaf/59099198,M,México,1886,1957
"Rivero, Domingo",http://viaf.org/viaf/76444963,M,España,1852,1929
"Riverón, Enrique",http://viaf.org/viaf/96191710,M,Cuba,1902,1998
"Rizal, José",http://viaf.org/viaf/41845763,M,Filipinas,1861,1896
"Roa Bárcena, José María",http://viaf.org/viaf/97460,M,México,1827,1908
"Roa García, Raúl",http://viaf.org/viaf/73866214,M,Cuba,1899,1982
"Robert, Louis de",http://viaf.org/viaf/4962286,M,Francia,1871,1937
"Robert, Roberto",http://viaf.org/viaf/48375346,M,NA,1830,1873
"Robles Pazos, José",http://viaf.org/viaf/73256542,M,España,1898,1936
"Roche, Ernest",http://viaf.org/viaf/78777638,M,Francia,1850,1917
"Roche, Juliette",http://viaf.org/viaf/96062155,F,Francia,1884,1980
"Rocker, Rudolf","https://viaf.org/viaf/14776058/#Rocker,_Rudolf,_1873-1958",M,Alemania,1873,1958
"Rodao, José",http://viaf.org/viaf/86536967,M,España,1865,1927
"Ródenas, Miguel A.",http://viaf.org/viaf/37303530,M,NA,NA,NA
"Rodenbach, Georges",http://viaf.org/viaf/76322185,M,Bélgica,1855,1898
"Rodin, Auguste",http://viaf.org/viaf/36923874,M,Francia,1840,1917
"Rodó, José Enrique",http://viaf.org/viaf/27078395,M,Uruguay,1871,1917
"Rodrigo, Luis de",http://viaf.org/viaf/63650979,M,Perú,1904,NA
"Rodríguez Carracido, José",http://viaf.org/viaf/51774223,M,España,1856,1928
"Rodríguez Cerna, José",http://viaf.org/viaf/310584452,M,Guatemala,1885,1952
"Rodríguez de Gortázar, Joaquín",http://viaf.org/viaf/68487558,M,NA,NA,NA
"Rodríguez Fabregat, Enrique",http://viaf.org/viaf/9768591,M,Uruguay,1895,1976
"Rodríguez González, Eladio","https://viaf.org/viaf/64224368/#Rodr%C3%ADguez_Gonz%C3%A1lez,_Eladio_1864-1949",M,España,1864,1949
"Rodríguez Jaldón, José",https://thebiography.us/en/rodriguez-jaldon-jose,M,España,1889,1919
"Rodríguez Larreta, Enrique",http://viaf.org/viaf/59115694,M,Argentina,1875,1961
"Rodríguez Lozano, Manuel",http://viaf.org/viaf/37989367,M,México,1895,1971
"Rodríguez Marín, Francisco",http://viaf.org/viaf/176643988,M,España,1855,1943
"Rodríguez Mendoza, Emilio",http://viaf.org/viaf/7284096,M,Chile,1875,1960
"Rodríguez Olcay, César Augusto",http://viaf.org/viaf/58244399,M,Perú,1889,1972
"Rodríguez Prous, Juan Carlos",https://autores.uy/autor/8829,M,Argentina,1893,1934
"Rodríguez San Pedro Alvargonzález, Carlos",http://viaf.org/viaf/220787128,M,España,NA,1968
"Rodríguez Serra, Bernardo",https://es.wikipedia.org/wiki/Bernardo_Rodr%C3%ADguez_Serra,M,España,1872,1902
"Rodríguez Tarditi, José",http://viaf.org/viaf/58928116,M,Argentina,NA,NA
"Rodríguez Yordi, Julio",https://gl.wikipedia.org/wiki/Julio_Rodr%C3%ADguez_Yordi,M,España,1894,1967
"Rodríguez-Émbil, Luis",http://viaf.org/viaf/310568951,M,Cuba,1879,1954
"Rodríguez-Pintos, Carlos",http://viaf.org/viaf/70958974,M,Uruguay,1895,1986
"Rodríguez, Abel",http://viaf.org/viaf/1083156811366345390008,M,Argentina,1893,1961
"Rodríguez, Emilio Gaspar",http://viaf.org/viaf/6145003272261300879,M,Cuba,1889,1939
"Rodríguez, Enrique",https://es.wikipedia.org/wiki/Enrique_Rodr%C3%ADguez_(gobernador),M,Argentina,NA,NA
"Rodríguez, José Ignacio",http://viaf.org/viaf/16482799,M,Cuba,1831,1907
"Rodríguez, Luis Felipe",http://viaf.org/viaf/66490627,M,Cuba,1888,1947
"Roesset Velasco, Marisa",http://viaf.org/viaf/95939496,F,España,1904,1976
"Roger, Suzanne",http://viaf.org/viaf/14659789,F,Francia,1898,1986
"Rogers, James E. Thorold",http://viaf.org/viaf/12659238,M,Reino Unido,1823,1890
"Rohde, Jorge Max",http://viaf.org/viaf/67661342,M,Argentina,1892,1979
"Roig de Leuchsenring, Emilio",http://viaf.org/viaf/9883976,M,Cuba,1889,1964
"Rojas Jiménez, Alberto",http://viaf.org/viaf/26338356,M,Chile,1900,1934
"Rojas Paz, Pablo",http://viaf.org/viaf/119238133,M,Argentina,1896,1956
"Rojas, Ricardo",http://viaf.org/viaf/56689191,M,Argentina,1882,1957
"Rolland, Romain",http://viaf.org/viaf/71397100,M,Francia,1866,1944
"Rollinat, Maurice",http://viaf.org/viaf/56615708,M,Francia,1846,1903
"Romano Muñoz, José",http://viaf.org/viaf/258035726,M,México,1890,1967
"Romanones, Alvaro Figueroa y Torres, conde de",http://viaf.org/viaf/66475313,M,España,1863,1950
"Romero de Terreros, Manuel",http://viaf.org/viaf/120701064,M,México,1880,1968
"Romero de Torres, Julio",http://viaf.org/viaf/8195045,M,España,1874,1930
"Romero García, Manuel Vicente",http://viaf.org/viaf/56658323,M,Venezuela,1865,1917
"Romero Ortiz, Antonio",http://viaf.org/viaf/87163950,M,España,1822,1884
"Romero Robledo, Francisco",http://viaf.org/viaf/121075407,M,España,1838,1906
"Romero y Martínez, Miguel",http://viaf.org/viaf/63592038,M,España,1888,1957
"Romero y Murube, Joaquín",http://viaf.org/viaf/17551547,M,España,1904,1969
"Romero, Emilio",http://viaf.org/viaf/100958143,M,Perú,1899,1993
"Romero, José María",http://viaf.org/viaf/567145857885523021003,M,España,1893,1936
"Romero, Matías",http://viaf.org/viaf/61612462,M,México,1837,1898
"Rondano, Herminio Héctor",http://viaf.org/viaf/58297271,M,NA,NA,NA
"Ronzitti, Miguel",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=20&ved=2ahUKEwjH4vDsq4PnAhWD-aQKHV2yCmw4ChAWMAl6BAgJEAI&url=http%3A%2F%2Frepositorio.filo.uba.ar%2Fbitstream%2Fhandle%2Ffilodigital%2F1866%2Fuba_ffyl_t_2006_828756_v2.pdf%3Fsequence%3D2%26isAllowed%3Dy&usg=AOvVaw2tDDYzyo8QpbHUEEEmAtJV,M,NA,NA,NA
"Rosado Ávila, Alfonso",http://www.elem.mx/autor/datos/115922,M,México,1895,1961
"Rosales, Eduardo",http://viaf.org/viaf/72321286,M,España,1836,1873
"Roselló, Arturo Alfonso",https://www.ecured.cu/Arturo_Alfonso_Rosell%C3%B3,M,Cuba,1896,1972
"Roso de Luna, Mario",http://viaf.org/viaf/9867752,M,España,1872,1931
"Rossi, Hernani",https://www.academiacanarialengua.org/archipielago/ramon-feria/,M,España,NA,NA
"Rouault, Georges",http://viaf.org/viaf/16857,M,Francia,1871,1958
"Rouco Buela, Juana",http://viaf.org/viaf/33270988,F,Argentina,1889,1969
"Roure, José de",http://viaf.org/viaf/315538145,M,España,1864,1909
"Rousseau, Henri",http://viaf.org/viaf/14776193,M,Francia,1844,1910
"Rousseau, Jean-Jacques",https://de.wikipedia.org/wiki/Jean-Jacques_Rousseau,M,Suiza,1712,1778
"Rovira i Virgili, Antoni",http://viaf.org/viaf/39386240,M,España,1882,1949
"Roviralta, Josep Maria",http://viaf.org/viaf/64055674,M,España,1880,1960
"Rowe, Leo Stanton",http://viaf.org/viaf/61913786,M,Estados Unidos,1871,1946
"Roxlo, Carlos",http://viaf.org/viaf/90890240,M,Uruguay,1860,1926
"Royo Villanova, Antonio",http://viaf.org/viaf/17601169,M,España,1869,1958
"Royo-Villanova y Morales, Ricardo",http://viaf.org/viaf/86517607,M,España,1899,1975
"Rubens, Peter Paul",http://viaf.org/viaf/56647196,M,Alemania,1577,1640
"Rubianes, Raúl",http://viaf.org/viaf/26155409622608740191,M,NA,NA,NA
"Rubiera, Ramón",https://www.ecured.cu/Ram%C3%B3n_Rubiera,M,Cuba,1894,1973
"Rubin, Luis G.",http://viaf.org/viaf/223145196,M,NA,1837,1892
"Rubio, Carlos",http://viaf.org/viaf/86814973,M,España,1832,1871
"Rueda López, Francisco",http://viaf.org/viaf/315088561,M,España,1834,1903
"Rueda, Lope de",http://viaf.org/viaf/7411961,M,España,1505,1565
"Rueda, Salvador",http://viaf.org/viaf/17371849,M,España,1857,1933
"Ruggieri, Silvio L.",http://viaf.org/viaf/440145856861222920193,M,NA,NA,NA
"Ruiz Aguilera, Ventura",http://viaf.org/viaf/13513737,M,España,1820,1881
"Ruíz Castillo, José",https://es.wikipedia.org/wiki/Jos%C3%A9_Ruiz-Castillo,M,España,1875,1945
"Ruiz Contreras, Luis",http://viaf.org/viaf/114290556,M,España,1863,1953
"Ruiz de Almodóvar, José",http://viaf.org/viaf/95938061,M,España,1867,1942
"Ruíz Morales, Manuel",http://viaf.org/viaf/95919146,M,España,1857,1922
"Ruiz-Castillo, José",http://viaf.org/viaf/255658742,M,España,1875,1945
"Ruiz-Castizo Ariza, José",http://viaf.org/viaf/306349528,M,España,1875,1945
"Ruíz, Guillermo",http://viaf.org/viaf/187170920,M,México,1894,1965
"Ruizfunes Amoros, Carlos",https://musicatradicional.eu/informant/30308,M,España,1905,1967
"Rusiñol, Santiago",http://viaf.org/viaf/9886682,M,España,1861,1931
"Russell, Bertrand",http://viaf.org/viaf/36924137,M,Reino Unido,1872,1970
"Ruzo, Daniel",http://viaf.org/viaf/70248745,M,Perú,1900,NA
"Ryner, Han",http://viaf.org/viaf/36924159,M,Francia,1861,1938
"Saa, Mário",http://viaf.org/viaf/19804743,M,Portugal,1893,1971
"Saavedra Fajardo, Diego de",http://viaf.org/viaf/47472,M,España,1584,1648
"Saavedra, Ángel de (El Duque de Rivas)",http://viaf.org/viaf/34466938,M,España,1791,1865
"Saavedra, Cornelio de",http://viaf.org/viaf/10926753,M,Argentina,1759,1829
"Saavedra, Francisco",http://viaf.org/viaf/57756429,M,España,1746,1819
"Sabas Alomá, Mariblanca",http://viaf.org/viaf/21856162,F,Cuba,1901,1983
"Sabat Ercasty, Carlos",http://viaf.org/viaf/118768668,M,Uruguay,1887,1982
